'jian'she'bu	建设部	011124.403554.618052	51111254.453554.4143125152
'hai'shi'zhong'cai'wei'yuan'hui	海事仲裁委员会	443106.180012.32802.121414.9259.8028.341154	4413155414.12515112.322512.121413534534.31234531.2512534.341154
'hai'guan'zong'shu	海关总署	443106.4334.438065.841931	4413155414.431134.432514544.2522112132511
'hai'yang'xue'hui	海洋学会	443106.444312.6458.341154	4413155414.441431112.44345521.341154
'hai'jun	海军	443106.4577	4413155414.451512
'ao'men'te'bie'xing'zheng'qu	澳门特别行政区	443254.42.311914.805322.33112.12190.1345	441325431234134.425.3121121124.2515322.332112.121213134.1345
'shen'yang'jun'qu	沈阳军区	444535.5281.4577.1345	4414535.522511.451512.1345
'ji'nan'jun'qu	济南军区	446632.122542.4577.1345	441413432.122543112.451512.1345
'nong'ye'bu	农业部	453534.22.618052	453534.22431.4143125152
'jun'shi'jian'cha'yuan	军事检察院	4577.180012.123411.469014.524615	451512.12515112.12343414431.44535445411234.524451135
'jun'shi'ji'gou	军事机构	4577.180012.1235.123554	451512.12515112.123435.12343554
'jun'shi'fa'yuan	军事法院	4577.180012.441954.524615	451512.12515112.44112154.524451135
'jun'shi'yuan'xiao	军事院校	4577.180012.524615.126634	451512.12515112.524451135.1234413434
'jun'shi'xue'yuan	军事学院	4577.180012.6458.524615	451512.12515112.44345521.524451135
'jun'shi'ke'xue'yuan	军事科学院	4577.180012.924412.6458.524615	451512.12515112.312344412.44345521.524451135
'song'qing'ling'ji'jin'hui	宋庆龄基金会	4612.47134.213444.7019.91.341154	4451234.413134.2121345234454.12211134121.34112431.341154
'xian'fa'xiu'gai'wei'yuan'hui	宪法修改委员会	463195.441954.322903.51590.9259.8028.341154	445312135.44112154.322354333.5153134.31234531.2512534.341154
'kong'jun	空军	463411.4577	44534121.451512
'shen'ji'shu	审计署	4683.4012.841931	44525112.4512.2522112132511
'guang'zhou'jun'qu	广州军区	47.434242.4577.1345	413.434242.451512.1345
'guang'dian'ju	广电局	47.815.07580	413.25115.5135251
'min'jian	民建	51515.011124	51515.51111254
'min'zheng'bu	民政部	51515.12190.618052	51515.121213134.4143125152
'min'zhu'dang'pai	民主党派	51515.411.248035.443334	51515.41121.2434525135.441333534
'min'zu'wei'yuan'hui	民族委员会	51515.603194.9259.8028.341154	51515.41533131134.31234531.2512534.341154
'min'jin	民进	51515.76454	51515.1132454
'min'meng	民盟	51515.813684	51515.2511351125221
'si'fa'bu	司法部	5180.441954.618052	51251.44112154.4143125152
'wei'sheng'bu	卫生部	521.371.618052	521.31121.4143125152
'ban'gong'ting	办公厅	5344.3454.1312	5344.3454.1312
'fa'gai'wei	发改委	53544.51590.9259	53544.5153134.31234531
'dui'wai'mao'yi'zhong'cai'wei'yuan'hui	对外贸易仲裁委员会	54124.9024.354538.813533.32802.121414.9259.8028.341154	54124.35424.354532534.25113533.322512.121413534534.31234531.2512534.341154
'dui'wai'mao'yi'jing'ji'he'zuo'bu	对外贸易经济合作部	54124.9024.354538.813533.555411.446632.92.323121.618052	54124.35424.354532534.25113533.55154121.441413432.341251.3231211.4143125152
'tong'xin'bing	通信兵	542514.3240.321214	5425112454.324111251.3212134
'tai'wan'min'zhu'zi'zhi'tong'meng	台湾民主自治同盟	5480.446657.51515.411.382.445480.25180.813684	54251.441412234515.51515.41121.325111.44154251.251251.2511351125221
'tai'wan'ban'gong'ting	台湾办公厅	5480.446657.5344.3454.1312	54251.441412234515.5344.3454.1312
'ji'nian'song'qing'ling'guo'jia'ming'yu'zhu'xi'ji'jin'hui	纪念宋庆龄国家名誉主席基金会	55515.344565.4612.47134.213444.251141.4613.9080.641340.411.471825.7019.91.341154	551515.34454544.4451234.413134.2121345234454.25112141.4451353334.354251.4431344111251.41121.4131221252.12211134121.34112431.341154
'jing'mao'wei	经贸委	555411.354538.9259	55154121.354532534.31234531
'jing'ji'ti'zhi'ban'gong'ting	经济体制办公厅	555411.446632.32121.311252.5344.3454.1312	55154121.441413432.3212341.31125222.5344.3454.1312
'xin'hua'tong'xun'she	新华通讯社	611232.323512.542514.40512.6219	4143112343312.323512.5425112454.45512.4524121
'xin'wen'chu'ban'shu	新闻出版署	611232.4272.02.321534.841931	4143112343312.425122111.52252.32153354.2522112132511
'xin'wen'ban'gong'shi	新闻办公室	611232.4272.5344.3454.461549	4143112343312.425122111.5344.3454.445154121
'shang'wu'bu	商务部	613480.9053.618052	41432534251.35453.4143125152
'she'ke'yuan	社科院	6219.924412.524615	4524121.312344412.524451135
'wen'hua'bu	文化部	66.3235.618052	4134.3235.4143125152
'jiao'tong'bu	交通部	6634.542514.618052	413434.5425112454.4143125152
'huo'jian'jun	火箭军	69.374312.4577	4334.314314431251122.451512
'pao'bing	炮兵	693555.321214	433435515.3212134
'ji'ben'jian'she'gong'cheng'bing	基本建设工程兵	7019.121.011124.403554.121.928011.321214	12211134121.12341.51111254.453554.121.312342511121.3212134
'xi'bu'zhan'qu	西部战区	74.618052.218014.1345	125351.4143125152.212511534.1345
'zhong'gong'dang'shi'ren'wu'yan'jiu'hui	中共党史人物研究会	802.1834.248035.8034.34.313533.141132.463435.341154	2512.122134.2434525135.25134.34.31213533.132511132.4453435.341154
'zhong'gong'zhong'yang'zhi'shu'ji'guan'gong'zuo'wei'yuan'hui	中共中央直属机关工作委员会	802.1834.802.25134.1227.073804.1235.4334.121.323121.9259.8028.341154	2512.122134.2512.25134.12251111.513325125214.123435.431134.121.3231211.31234531.2512534.341154
'zhong'gong'zhong'yang'ban'gong'ting	中共中央办公厅	802.1834.802.25134.5344.3454.1312	2512.122134.2512.25134.5344.3454.1312
'zhong'gong'zhong'yang'ji'lv'jian'cha'wei'yuan'hui	中共中央纪律检查委员会	802.1834.802.25134.55515.330112.123411.12811.9259.8028.341154	2512.122134.2512.25134.551515.332511112.12343414431.123425111.31234531.2512534.341154
'zhong'gong'zhong'yang'wei'yuan'hui	中共中央委员会	802.1834.802.25134.9259.8028.341154	2512.122134.2512.25134.31234531.2512534.341154
'zhong'guo'chu'ban'dui'wai'mao'yi'gong'si	中国出版对外贸易公司	802.251141.02.321534.54124.9024.354538.813533.3454.5180	2512.25112141.52252.32153354.54124.35424.354532534.25113533.3454.51251
'zhong'guo'ji'shu'jin'chu'kou'zong'gong'si	中国技术进出口总公司	802.251141.101254.124.76454.02.80.438065.3454.5180	2512.25112141.1211254.12344.1132454.52252.251.432514544.3454.51251
'zhong'guo'kang'ai'xie'hui	中国抗癌协会	802.251141.104135.488080.125344.341154	2512.25112141.1214135.41341251251251252.125344.341154
'zhong'guo'she'ying'jia'xie'hui	中国摄影家协会	802.251141.107254.814123.4613.125344.341154	2512.25112141.1211221115454.251141251234333.4451353334.125344.341154
'zhong'guo'tian'zhu'jiao'jiao'wu'wei'yuan'hui	中国天主教教务委员会	802.251141.1134.411.193580.193580.9053.9259.8028.341154	2512.25112141.1134.41121.12135213134.12135213134.35453.31234531.2512534.341154
'zhong'guo'tian'zhu'jiao'ai'guo'hui	中国天主教爱国会	802.251141.1134.411.193580.394514.251141.341154	2512.25112141.1134.41121.12135213134.3443451354.25112141.341154
'zhong'guo'tian'zhu'jiao'zhu'jiao'tuan	中国天主教主教团	802.251141.1134.411.193580.411.193580.251231	2512.25112141.1134.41121.12135213134.41121.12135213134.251231
'zhong'guo'yuan'yang'yun'shu'gong'si	中国远洋运输公司	802.251141.113544.444312.115444.773412.3454.5180	2512.25112141.1135454.441431112.1154454.1521341251122.3454.51251
'zhong'guo'gong'yi'pin'jin'chu'kou'gong'si	中国工艺品进出口公司	802.251141.121.175.808080.76454.02.80.3454.5180	2512.25112141.121.1225.251251251.1132454.52252.251.3454.51251
'zhong'guo'gong'cheng'yuan	中国工程院	802.251141.121.928011.524615	2512.25112141.121.312342511121.524451135
'zhong'guo'biao'zhun'hua'xie'hui	中国标准化协会	802.251141.121124.413241.3235.125344.341154	2512.25112141.123411234.4132411121.3235.125344.341154
'zhong'guo'zheng'fa'xue'hui	中国政法学会	802.251141.12190.441954.6458.341154	2512.25112141.121213134.44112154.44345521.341154
'zhong'guo'ji'xie'she'bei'jin'chu'kou'gong'si	中国机械设备进出口公司	802.251141.1235.121134.403554.9083.76454.02.80.3454.5180	2512.25112141.123435.12341132534.453554.35425121.1132454.52252.251.3454.51251
'zhong'guo'ji'xie'jin'chu'kou'gong'si	中国机械进出口公司	802.251141.1235.121134.76454.02.80.3454.5180	2512.25112141.123435.12341132534.1132454.52252.251.3454.51251
'zhong'guo'jiu'zhu'da'lao'gong'si	中国救助打捞公司	802.251141.124130.2753.1012.101743.3454.5180	2512.25112141.12413443134.2511153.12112.1211224553.3454.51251
'zhong'guo'wu'jin'kuang'chan'jin'chu'kou'gong'si	中国五金矿产进出口公司	802.251141.1251.91.1447.613.76454.02.80.3454.5180	2512.25112141.1251.34112431.13251413.414313.1132454.52252.251.3454.51251
'zhong'guo'can'ji'ren'fu'li'ji'jin'hui	中国残疾人福利基金会	802.251141.131154.4894.34.621803.9222.7019.91.341154	2512.25112141.135411534.4134131134.34.4524125125121.3123422.12211134121.34112431.341154
'zhong'guo'cheng'tao'she'bei'chu'kou'gong'si	中国成套设备出口公司	802.251141.135534.13478.403554.9083.02.80.3454.5180	2512.25112141.135534.1341211154.453554.35425121.52252.251.3454.51251
'zhong'guo'shi'you'gong'si	中国石油公司	802.251141.14.4483.3454.5180	2512.25112141.13251.44125121.3454.51251
'zhong'guo'shi'you'gong'si'hai'yang'fen'gong'si	中国石油公司海洋分公司	802.251141.14.4483.3454.5180.443106.444312.3453.3454.5180	2512.25112141.13251.44125121.3454.51251.4413155414.441431112.3453.3454.51251
'zhong'guo'zhi'gong'dang	中国致公党	802.251141.154190.3454.248035	2512.25112141.1541213134.3454.2434525135
'zhong'guo'ge'ju'yan'jiu'hui	中国歌剧研究会	802.251141.180214.071282.141132.463435.341154	2512.25112141.12512125123534.5131225122.132511132.4453435.341154
'zhong'guo'gong'chan'dang	中国共产党	802.251141.1834.613.248035	2512.25112141.122134.414313.2434525135
'zhong'guo'gong'chan'dang'zhong'yang'wei'yuan'hui	中国共产党中央委员会	802.251141.1834.613.248035.802.25134.9259.8028.341154	2512.25112141.122134.414313.2434525135.2512.25134.31234531.2512534.341154
'zhong'guo'gong'chan'zhu'yi'qing'nian'tuan	中国共产主义青年团	802.251141.1834.613.411.434.712511.311212.251231	2512.25112141.122134.414313.41121.434.11212511.311212.251231
'zhong'guo'tu'chan'xu'chan'jin'chu'kou'gong'si	中国土产畜产进出口公司	802.251141.19.613.415683.613.76454.02.80.3454.5180	2512.25112141.121.414313.4155425121.414313.1132454.52252.251.3454.51251
'zhong'guo'kao'gu'xue'hui	中国考古学会	802.251141.19315.1280.6458.341154	2512.25112141.121315.12251.44345521.341154
'zhong'guo'jiao'yu'xue'hui	中国教育学会	802.251141.193580.415421.6458.341154	2512.25112141.12135213134.41542511.44345521.341154
'zhong'guo'yi'xue'hui	中国医学会	802.251141.1945.6458.341154	2512.25112141.1311345.44345521.341154
'zhong'guo'di'zhen'ju	中国地震局	802.251141.19525.161314.07580	2512.25112141.121525.145244441311534.5135251
'zhong'guo'shao'nian'xian'feng'dui	中国少年先锋队	802.251141.2343.311212.31935.919071.5234	2512.25112141.2343.311212.312135.311153541112.5234
'zhong'guo'shao'nian'er'tong'ji'jin'hui	中国少年儿童基金会	802.251141.2343.311212.35.618121.7019.91.341154	2512.25112141.2343.311212.35.414312511211.12211134121.34112431.341154
'zhong'guo'guo'min'dang'ge'ming'wei'yuan'hui	中国国民党革命委员会	802.251141.251141.51515.248035.18.341802.9259.8028.341154	2512.25112141.25112141.51515.2434525135.122125112.34125152.31234531.2512534.341154
'zhong'guo'guo'ji'xin'tuo'tou'zi'gong'si	中国国际信托投资公司	802.251141.251141.521124.3240.10315.103554.413538.3454.5180	2512.25112141.25112141.5211234.324111251.121315.1213554.4135342534.3454.51251
'zhong'guo'guo'ji'mao'yi'tu'shu'zong'gong'si	中国国际贸易图书总公司	802.251141.251141.521124.354538.813533.259041.5524.438065.3454.5180	2512.25112141.25112141.5211234.354532534.25113533.25354441.5524.432514544.3454.51251
'zhong'guo'guo'ji'mao'yi'cu'jin'hui	中国国际贸易促进会	802.251141.251141.521124.354538.813533.3229.76454.341154	2512.25112141.25112141.5211234.354532534.25113533.322512134.1132454.341154
'zhong'guo'guo'ji'mao'yi'zhong'xin	中国国际贸易中心	802.251141.251141.521124.354538.813533.802.65	2512.25112141.25112141.5211234.354532534.25113533.2512.4544
'zhong'guo'guo'ji'fa'xue'hui	中国国际法学会	802.251141.251141.521124.441954.6458.341154	2512.25112141.25112141.5211234.44112154.44345521.341154
'zhong'guo'guo'ji'jing'ji'ji'shu'jiao'liu'zhong'xin	中国国际经济技术交流中心	802.251141.251141.521124.555411.446632.101254.124.6634.444155.802.65	2512.25112141.25112141.5211234.55154121.441413432.1211254.12344.413434.4414154325.2512.4544
'zhong'guo'guo'ji'jing'ji'zi'xun'gong'si	中国国际经济咨询公司	802.251141.251141.521124.555411.446632.413530.403581.3454.5180	2512.25112141.25112141.5211234.55154121.441413432.413534251.45352511.3454.51251
'zhong'guo'guo'ji'wen'hua'jiao'liu'zhong'xin	中国国际文化交流中心	802.251141.251141.521124.66.3235.6634.444155.802.65	2512.25112141.25112141.5211234.4134.3235.413434.4414154325.2512.4544
'zhong'guo'guo'ji'jiao'liu'xie'hui	中国国际交流协会	802.251141.251141.521124.6634.444155.125344.341154	2512.25112141.25112141.5211234.413434.4414154325.125344.341154
'zhong'guo'guo'ji'ke'ji'hui'yi'zhong'xin	中国国际科技会议中心	802.251141.251141.521124.924412.101254.341154.40434.802.65	2512.25112141.25112141.5211234.312344412.1211254.341154.45434.2512.4544
'zhong'guo'qu'yi'jia'xie'hui	中国曲艺家协会	802.251141.25171.175.4613.125344.341154	2512.25112141.251221.1225.4451353334.125344.341154
'zhong'guo'tu'shu'jin'chu'kou'zong'gong'si	中国图书进出口总公司	802.251141.259041.5524.76454.02.80.438065.3454.5180	2512.25112141.25354441.5524.1132454.52252.251.432514544.3454.51251
'zhong'guo'cai'zheng'xue'hui	中国财政学会	802.251141.28123.12190.6458.341154	2512.25112141.2534123.121213134.44345521.341154
'zhong'guo'wu'dao'jia'xie'hui	中国舞蹈家协会	802.251141.311222.293997.4613.125344.341154	2512.25112141.31122221354152.25121213443321511.4451353334.125344.341154
'zhong'guo'yi'si'lan'jiao'xie'hui	中国伊斯兰教协会	802.251141.32013.703312.431.193580.125344.341154	2512.25112141.325113.122111343312.43111.12135213134.125344.341154
'zhong'guo'zuo'jia'xie'hui	中国作家协会	802.251141.323121.4613.125344.341154	2512.25112141.3231211.4451353334.125344.341154
'zhong'guo'hua'gong'jian'she'zong'gong'si	中国化工建设总公司	802.251141.3235.121.011124.403554.438065.3454.5180	2512.25112141.3235.121.51111254.453554.432514544.3454.51251
'zhong'guo'hua'gong'jin'chu'kou'gong'si	中国化工进出口公司	802.251141.3235.121.76454.02.80.3454.5180	2512.25112141.3235.121.1132454.52252.251.3454.51251
'zhong'guo'yi'qi'jin'chu'kou'gong'si	中国仪器进出口公司	802.251141.32434.808010.76454.02.80.3454.5180	2512.25112141.32434.2512511344251251.1132454.52252.251.3454.51251
'zhong'guo'ao'lin'pi'ke'wei'yuan'hui	中国奥林匹克委员会	802.251141.325684.1212.1355.128035.9259.8028.341154	2512.25112141.325431234134.12341234.1355.1225135.31234531.2512534.341154
'zhong'guo'fo'jiao'xie'hui	中国佛教协会	802.251141.325732.193580.125344.341154	2512.25112141.3251532.12135213134.125344.341154
'zhong'guo'heng'qi'xie'hui	中国衡器协会	802.251141.333582.808010.125344.341154	2512.25112141.3323525121134112.2512511344251251.125344.341154
'zhong'guo'ren'min'zheng'zhi'xie'shang'hui'yi	中国人民政治协商会议	802.251141.34.51515.12190.445480.125344.613480.341154.40434	2512.25112141.34.51515.121213134.44154251.125344.41432534251.341154.45434
'zhong'guo'ren'min'bao'wei'er'tong'quan'guo'wei'yuan'hui	中国人民保卫儿童全国委员会	802.251141.34.51515.328012.521.35.618121.3411.251141.9259.8028.341154	2512.25112141.34.51515.322511234.521.35.414312511211.341121.25112141.31234531.2512534.341154
'zhong'guo'ren'min'bao'xian'gong'si	中国人民保险公司	802.251141.34.51515.328012.523411.3454.5180	2512.25112141.34.51515.322511234.523414431.3454.51251
'zhong'guo'ren'min'jie'fang'jun	中国人民解放军	802.251141.34.51515.355331.6090.4577	2512.25112141.34.51515.3535112533112.41533134.451512
'zhong'guo'ren'min'jie'fang'jun'tian'jin'jing'bei'qu	中国人民解放军天津警备区	802.251141.34.51515.355331.6090.4577.1134.440112.173580.9083.1345	2512.25112141.34.51515.3535112533112.41533134.451512.1134.441511112.1223525131344111251.35425121.1345
'zhong'guo'ren'min'jie'fang'jun'gong'cheng'bing	中国人民解放军工程兵	802.251141.34.51515.355331.6090.4577.121.928011.321214	2512.25112141.34.51515.3535112533112.41533134.451512.121.312342511121.3212134
'zhong'guo'ren'min'jie'fang'jun'zheng'zhi'xue'yuan	中国人民解放军政治学院	802.251141.34.51515.355331.6090.4577.12190.445480.6458.524615	2512.25112141.34.51515.3535112533112.41533134.451512.121213134.44154251.44345521.524451135
'zhong'guo'ren'min'jie'fang'jun'nan'jing'jun'qu	中国人民解放军南京军区	802.251141.34.51515.355331.6090.4577.122542.41234.4577.1345	2512.25112141.34.51515.3535112533112.41533134.451512.122543112.41251234.451512.1345
'zhong'guo'ren'min'jie'fang'jun'nan'bu'zhan'qu	中国人民解放军南部战区	802.251141.34.51515.355331.6090.4577.122542.618052.218014.1345	2512.25112141.34.51515.3535112533112.41533134.451512.122543112.4143125152.212511534.1345
'zhong'guo'ren'min'jie'fang'jun'cheng'du'jun'qu	中国人民解放军成都军区	802.251141.34.51515.355331.6090.4577.135534.193812.4577.1345	2512.25112141.34.51515.3535112533112.41533134.451512.135534.1213251152.451512.1345
'zhong'guo'ren'min'jie'fang'jun'dong'bu'zhan'qu	中国人民解放军东部战区	802.251141.34.51515.355331.6090.4577.15234.618052.218014.1345	2512.25112141.34.51515.3535112533112.41533134.451512.15234.4143125152.212511534.1345
'zhong'guo'ren'min'jie'fang'jun'shang'hai'jing'bei'qu	中国人民解放军上海警备区	802.251141.34.51515.355331.6090.4577.211.443106.173580.9083.1345	2512.25112141.34.51515.3535112533112.41533134.451512.211.4413155414.1223525131344111251.35425121.1345
'zhong'guo'ren'min'jie'fang'jun'bei'jing'jun'qu	中国人民解放军北京军区	802.251141.34.51515.355331.6090.4577.21135.41234.4577.1345	2512.25112141.34.51515.3535112533112.41533134.451512.21135.41251234.451512.1345
'zhong'guo'ren'min'jie'fang'jun'bei'jing'wei'shu'qu	中国人民解放军北京卫戍区	802.251141.34.51515.355331.6090.4577.21135.41234.521.134534.1345	2512.25112141.34.51515.3535112533112.41533134.451512.21135.41251234.521.134534.1345
'zhong'guo'ren'min'jie'fang'jun'bei'bu'zhan'qu	中国人民解放军北部战区	802.251141.34.51515.355331.6090.4577.21135.618052.218014.1345	2512.25112141.34.51515.3535112533112.41533134.451512.21135.4143125152.212511534.1345
'zhong'guo'ren'min'jie'fang'jun'guo'fang'da'xue	中国人民解放军国防大学	802.251141.34.51515.355331.6090.4577.251141.5260.134.6458	2512.25112141.34.51515.3535112533112.41533134.451512.25112141.524153.134.44345521
'zhong'guo'ren'min'jie'fang'jun'ti'yu'yun'dong'wei'yuan'hui	中国人民解放军体育运动委员会	802.251141.34.51515.355331.6090.4577.32121.415421.115444.115453.9259.8028.341154	2512.25112141.34.51515.3535112533112.41533134.451512.3212341.41542511.1154454.115453.31234531.2512534.341154
'zhong'guo'ren'min'jie'fang'jun'hou'qin'xue'yuan	中国人民解放军后勤学院	802.251141.34.51515.355331.6090.4577.33180.1853.6458.524615	2512.25112141.34.51515.3535112533112.41533134.451512.331251.1221251112153.44345521.524451135
'zhong'guo'ren'min'jie'fang'jun'di'er'pao'bing	中国人民解放军第二炮兵	802.251141.34.51515.355331.6090.4577.375723.11.693555.321214	2512.25112141.34.51515.3535112533112.41533134.451512.31431451523.11.433435515.3212134
'zhong'guo'ren'min'jie'fang'jun'zhuang'jia'bing	中国人民解放军装甲兵	802.251141.34.51515.355331.6090.4577.412194.83.321214	2512.25112141.34.51515.3535112533112.41533134.451512.412121413534.25112.3212134
'zhong'guo'ren'min'jie'fang'jun'lan'zhou'jun'qu	中国人民解放军兰州军区	802.251141.34.51515.355331.6090.4577.431.434242.4577.1345	2512.25112141.34.51515.3535112533112.41533134.451512.43111.434242.451512.1345
'zhong'guo'ren'min'jie'fang'jun'hai'jun	中国人民解放军海军	802.251141.34.51515.355331.6090.4577.443106.4577	2512.25112141.34.51515.3535112533112.41533134.451512.4413155414.451512
'zhong'guo'ren'min'jie'fang'jun'shen'yang'jun'qu	中国人民解放军沈阳军区	802.251141.34.51515.355331.6090.4577.444535.5281.4577.1345	2512.25112141.34.51515.3535112533112.41533134.451512.4414535.522511.451512.1345
'zhong'guo'ren'min'jie'fang'jun'ji'nan'jun'qu	中国人民解放军济南军区	802.251141.34.51515.355331.6090.4577.446632.122542.4577.1345	2512.25112141.34.51515.3535112533112.41533134.451512.441413432.122543112.451512.1345
'zhong'guo'ren'min'jie'fang'jun'jun'shi'jian'cha'yuan	中国人民解放军军事检察院	802.251141.34.51515.355331.6090.4577.4577.180012.123411.469014.524615	2512.25112141.34.51515.3535112533112.41533134.451512.451512.12515112.12343414431.44535445411234.524451135
'zhong'guo'ren'min'jie'fang'jun'jun'shi'fa'yuan	中国人民解放军军事法院	802.251141.34.51515.355331.6090.4577.4577.180012.441954.524615	2512.25112141.34.51515.3535112533112.41533134.451512.451512.12515112.44112154.524451135
'zhong'guo'ren'min'jie'fang'jun'jun'shi'yuan'xiao	中国人民解放军军事院校	802.251141.34.51515.355331.6090.4577.4577.180012.524615.126634	2512.25112141.34.51515.3535112533112.41533134.451512.451512.12515112.524451135.1234413434
'zhong'guo'ren'min'jie'fang'jun'jun'shi'xue'yuan	中国人民解放军军事学院	802.251141.34.51515.355331.6090.4577.4577.180012.6458.524615	2512.25112141.34.51515.3535112533112.41533134.451512.451512.12515112.44345521.524451135
'zhong'guo'ren'min'jie'fang'jun'jun'shi'ke'xue'yuan	中国人民解放军军事科学院	802.251141.34.51515.355331.6090.4577.4577.180012.924412.6458.524615	2512.25112141.34.51515.3535112533112.41533134.451512.451512.12515112.312344412.44345521.524451135
'zhong'guo'ren'min'jie'fang'jun'kong'jun	中国人民解放军空军	802.251141.34.51515.355331.6090.4577.463411.4577	2512.25112141.34.51515.3535112533112.41533134.451512.44534121.451512
'zhong'guo'ren'min'jie'fang'jun'guang'zhou'jun'qu	中国人民解放军广州军区	802.251141.34.51515.355331.6090.4577.47.434242.4577.1345	2512.25112141.34.51515.3535112533112.41533134.451512.413.434242.451512.1345
'zhong'guo'ren'min'jie'fang'jun'tong'xin'bing	中国人民解放军通信兵	802.251141.34.51515.355331.6090.4577.542514.3240.321214	2512.25112141.34.51515.3535112533112.41533134.451512.5425112454.324111251.3212134
'zhong'guo'ren'min'jie'fang'jun'huo'jian'jun	中国人民解放军火箭军	802.251141.34.51515.355331.6090.4577.69.374312.4577	2512.25112141.34.51515.3535112533112.41533134.451512.4334.314314431251122.451512
'zhong'guo'ren'min'jie'fang'jun'pao'bing	中国人民解放军炮兵	802.251141.34.51515.355331.6090.4577.693555.321214	2512.25112141.34.51515.3535112533112.41533134.451512.433435515.3212134
'zhong'guo'ren'min'jie'fang'jun'ji'ben'jian'she'gong'cheng'bing	中国人民解放军基本建设工程兵	802.251141.34.51515.355331.6090.4577.7019.121.011124.403554.121.928011.321214	2512.25112141.34.51515.3535112533112.41533134.451512.12211134121.12341.51111254.453554.121.312342511121.3212134
'zhong'guo'ren'min'jie'fang'jun'xi'bu'zhan'qu	中国人民解放军西部战区	802.251141.34.51515.355331.6090.4577.74.618052.218014.1345	2512.25112141.34.51515.3535112533112.41533134.451512.125351.4143125152.212511534.1345
'zhong'guo'ren'min'jie'fang'jun'zhong'bu'zhan'qu	中国人民解放军中部战区	802.251141.34.51515.355331.6090.4577.802.618052.218014.1345	2512.25112141.34.51515.3535112533112.41533134.451512.2512.4143125152.212511534.1345
'zhong'guo'ren'min'jie'fang'jun'ge'jun'bing'zhong	中国人民解放军各军兵种	802.251141.34.51515.355331.6090.4577.9080.4577.321214.92802	2512.25112141.34.51515.3535112533112.41533134.451512.354251.451512.3212134.312342512
'zhong'guo'ren'min'jie'fang'jun'ge'bu'dui	中国人民解放军各部队	802.251141.34.51515.355331.6090.4577.9080.618052.5234	2512.25112141.34.51515.3535112533112.41533134.451512.354251.4143125152.5234
'zhong'guo'ren'min'dui'wai'you'hao'xie'hui	中国人民对外友好协会	802.251141.34.51515.54124.9024.1354.5958.125344.341154	2512.25112141.34.51515.54124.35424.1354.531521.125344.341154
'zhong'guo'ren'min'wai'jiao'xue'hui	中国人民外交学会	802.251141.34.51515.9024.6634.6458.341154	2512.25112141.34.51515.35424.413434.44345521.341154
'zhong'guo'ren'min'yin'hang	中国人民银行	802.251141.34.51515.9103.33112	2512.25112141.34.51515.31115511534.332112
'zhong'guo'ren'min'yin'hang'zong'hang	中国人民银行总行	802.251141.34.51515.9103.33112.438065.33112	2512.25112141.34.51515.31115511534.332112.432514544.332112
'zhong'guo'kuai'ji'xue'hui	中国会计学会	802.251141.341154.4012.6458.341154	2512.25112141.341154.4512.44345521.341154
'zhong'guo'qi'ye'guan'li'xie'hui	中国企业管理协会	802.251141.3421.22.374621.118121.125344.341154	2512.25112141.342121.22431.31431444525151.11212511211.125344.341154
'zhong'guo'za'ji'yi'shu'jia'xie'hui	中国杂技艺术家协会	802.251141.3512.101254.175.124.4613.125344.341154	2512.25112141.351234.1211254.1225.12344.4451353334.125344.341154
'zhong'guo'fan'yi'gong'zuo'zhe'xie'hui	中国翻译工作者协会	802.251141.368834.405412.121.323121.19381.125344.341154	2512.25112141.343123425121541541.4554112.121.3231211.12132511.125344.341154
'zhong'guo'bi'hui'zhong'xin	中国笔会中心	802.251141.3767.341154.802.65	2512.25112141.3143143115.341154.2512.4544
'zhong'guo'ji'liang'ce'shi'xue'hui	中国计量测试学会	802.251141.4012.811811.442822.401124.6458.341154	2512.25112141.4512.251112511211.441253422.45112154.44345521.341154
'zhong'guo'zheng'quan'jian'du'guan'li'wei'yuan'hui	中国证券监督管理委员会	802.251141.40121.4353.223144.875482.374621.118121.9259.8028.341154	2512.25112141.4512121.43113453.2231425221.2112345425111.31431444525151.11212511211.31234531.2512534.341154
'zhong'guo'mang'ren'long'ya'ren'xie'hui	中国盲人聋哑人协会	802.251141.41582.34.135342.80122.34.125344.341154	2512.25112141.41525111.34.13534122111.251122431.34.125344.341154
'zhong'guo'mei'shu'jia'xie'hui	中国美术家协会	802.251141.431114.124.4613.125344.341154	2512.25112141.431121134.12344.4451353334.125344.341154
'zhong'guo'dao'jiao'xie'hui	中国道教协会	802.251141.431384.193580.125344.341154	2512.25112141.431325111454.12135213134.125344.341154
'zhong'guo'fa'lv'zi'xun'zhong'xin	中国法律咨询中心	802.251141.441954.330112.413530.403581.802.65	2512.25112141.44112154.332511112.413534251.45352511.2512.4544
'zhong'guo'fa'xue'hui	中国法学会	802.251141.441954.6458.341154	2512.25112141.44112154.44345521.341154
'zhong'guo'nong'gong'min'zhu'dang	中国农工民主党	802.251141.453534.121.51515.411.248035	2512.25112141.453534.121.51515.41121.2434525135
'zong'ju'min'yong'hang'kong'zong'ju	中国民用航空总局	802.251141.51515.35112.934135.463411.438065.07580	2512.25112141.51515.35112.3354144135.44534121.432514544.5135251
'zhong'guo'min'zhu'jian'guo'hui	中国民主建国会	802.251141.51515.411.011124.251141.341154	2512.25112141.51515.41121.51111254.25112141.341154
