15364	戮	15	040434	201
8561	翐	11	040434	202
15363	翭	15	040434	203
43958	䎆	11	040434	230
45261	䢧	14	040434	231
41461	㦻	15	040434	232
45270	䢰	17	040434	233
41698	㪬	18	040434	234
15362	翫	15	040435	200
43954	䎂	11	040435	230
19679	飁	20	040438	200
19680	顟	20	040438	201
16678	鹨	16	040439	200
20318	鷚	22	040439	201
20748	鸐	25	040439	202
16679	翯	16	040440	200
13833	翠	14	040442	200
13832	翞	14	040444	200
10514	翚	12	040447	200
15366	翬	15	040447	201
125706	𦑩	15	040447	240
45287	䣁	8	040452	230
8567	翍	11	040454	200
125593	𦏸	9	040455	240
8565	翌	11	040461	200
8566	翋	11	040461	201
125617	𦐐	10	040466	240
6729	毣	10	040467	200
13834	翣	14	040469	200
125675	𦑊	14	040471	240
125733	𦒄	17	040471	241
16677	翴	16	040474	200
43966	䎎	13	040475	230
43978	䎚	21	040475	231
6728	翀	10	040482	200
43960	䎈	12	040483	230
17697	翼	17	040484	200
15361	翨	15	040484	201
17698	翵	17	040499	200
100105	𠁨	7	04802	240
53	巜	2	05	200
152	巛	3	05	201
12340	煭	13	051329	200
138929	𩠐	10	051382	240
18504	邋	18	052534	200
15428	巤	15	052535	200
108187	𡿺	9	053251	240
1270	巡	6	05454	200
687	廵	5	0554	200
40825	㜽	6	0558	230
2236	災	7	0569	200
18503	雝	18	058051	200
6785	邕	10	058055	200
12342	鄛	13	058112	200
8645	巢	11	058112	201
12341	剿	13	058112	202
12343	勦	13	058113	200
3536	甾	8	0583	200
16719	疀	16	058314	200
40238	㓯	10	058322	230
45300	䣎	10	058352	230
19195	鶅	19	058399	200
684	母	5	06	200
354	毋	4	06	201
352	毌	4	06	202
3529	贯	8	0628	200
8608	貫	11	0628	201
13857	遦	14	062844	200
8611	袰	11	064134	200
3530	毑	8	06525	200
40828	㝀	8	0658	230
106489	𡥘	8	0658	240
46300	䳇	16	0699	230
126	尸	3	07	200
12226	辟	13	07	201
4919	叚	9	07	202
3411	屈	8	0702	200
19153	屫	19	070290	200
19154	鶌	19	070299	200
119066	𤩹	17	0711	240
15312	犚	15	071121	200
17662	褽	17	071124	200
8450	尉	11	071124	201
6630	叞	10	071124	202
15314	慰	15	071125	200
17661	螱	17	071126	200
15313	熨	15	071129	200
18457	璧	18	07114	200
2116	层	7	071154	200
42492	㷉	12	071164	230
2117	杘	7	0712	200
17664	檗	17	0712	201
40925	㞡	19	071214	230
40915	㞗	10	071244	230
40914	㞖	9	071254	230
3404	居	8	071280	200
6632	剧	10	071282	200
19149	鶋	19	071289	200
107281	𡱰	10	0713	240
6633	屒	10	071314	200
45810	䫗	18	071328	230
4920	屍	9	071335	200
40924	㞠	15	071344	230
40916	㞘	11	071354	230
18458	礕	18	0714	200
2118	屁	7	071535	200
8453	剭	11	071542	200
4921	屋	9	071549	200
46292	䲿	16	071599	230
8452	屚	11	0716	200
107331	𡲢	11	071750	240
17663	臀	17	071831	200
12225	殿	13	071834	200
19148	臋	19	071834	201
119058	𤩱	18	071834	240
16633	壂	16	071839	200
3403	屉	8	07185	200
10424	屟	12	071852	200
6631	展	10	071854	200
133001	𨃨	17	071859	240
16634	壁	16	0719	200
8451	屠	11	071931	200
45315	䣝	13	071932	230
20309	鷵	22	071939	200
3402	屆	8	071952	200
8454	屝	11	0723	200
10425	犀	12	072411	200
20507	劚	23	072412	201
20746	斸	25	072412	202
40253	㓾	14	072412	230
107341	𡲬	13	072412	240
15315	遲	15	072414	200
20029	屬	21	072416	200
6634	屑	10	072421	200
16635	幦	16	0725	200
17666	臂	17	072511	200
3407	刷	8	072522	200
2120	尿	7	072534	200
42395	㵨	17	072534	230
40349	㕞	8	072554	230
2119	屃	7	0728	200
6635	屓	10	0728	201
20664	屭	24	072828	200
19666	躄	20	0729	200
45887	䬤	12	0730	230
8455	屛	11	073112	200
107255	𡱖	9	073112	240
40918	㞚	12	073127	230
15317	屧	15	073312	200
6638	屐	10	073314	200
8456	屜	11	073315	200
13773	屣	14	073324	200
15318	履	15	073330	200
40919	㞛	12	073331	230
40922	㞞	14	073334	230
15319	屦	15	073369	200
17669	屨	17	073389	200
18459	屩	18	073390	200
40920	㞜	14	073399	230
45225	䢃	15	0734	230
40913	㞕	9	073421	230
40907	㞏	7	073454	230
643	尼	5	0735	200
645	尻	5	0735	201
644	凥	5	0735	202
42095	㰺	13	073534	230
40905	㞍	6	07354	230
3409	迡	8	073544	200
40911	㞓	9	073581	230
40264	㔉	14	073802	230
10426	属	12	073804	200
40910	㞒	9	07382	230
328	尺	4	074	200
19667	譬	20	0740	200
19150	襞	19	074134	200
40909	㞑	8	074154	230
20031	羼	21	074312	200
10427	遅	12	074314	200
15321	層	15	074321	200
4925	屏	9	074332	200
40923	㞟	15	074374	230
1193	尽	6	07444	200
2122	迟	7	074454	200
10422	遐	12	07454	200
16636	避	16	07454	201
1194	迉	6	07454	202
18460	屪	18	074614	200
3410	屄	8	074634	200
4924	咫	9	074804	200
4923	昼	9	074811	200
6640	屙	10	075212	200
40906	㞎	7	075215	230
15316	劈	15	0753	200
40903	㞋	5	0754	230
19152	繴	19	075624	200
16637	孹	16	0758	201
40904	㞌	6	0758	230
2123	局	7	07580	200
10429	孱	12	075858	200
16638	嬖	16	0759	200
40908	㞐	8	0761	230
6639	屖	10	076112	200
12227	遟	13	076114	200
17668	憵	17	0765	200
2121	尾	7	0767	200
17667	擘	17	0767	201
6636	屗	10	076714	200
40917	㞙	11	076724	230
107334	𡲥	12	076731	240
6637	屘	10	076758	200
4926	屎	9	0768	200
19151	糪	19	0768	201
10428	屡	12	076859	200
107391	𡳞	15	076892	240
17665	甓	17	0779	200
107211	𡰪	6	0780	240
4922	屌	9	078025	200
3406	届	8	0783	200
3405	屇	8	0783	201
20800	鼊	26	0785	200
13771	屢	14	0789	200
40912	㞔	9	079090	230
20030	鐾	21	0791	200
3408	鸤	8	0799	200
30078		18	0799	201
13772	鳲	14	0799	202
20665	鸊	24	0799	203
20666	鷿	24	0799	204
46270	䲩	14	0799	230
650	疋	5	08	201
119733	𤴔	5	08	240
10439	疎	12	081804	200
4943	胥	9	082511	200
8478	蛋	11	0826	200
10440	疏	12	084155	200
6659	疍	10	08811	200
43058	㿿	10	0884	230
1	一	1	1	200
64	扌	3	10	200
749	扫	6	1001	200
41598	㩇	15	100111	230
110988	𢫫	9	100112	240
6985	揵	11	100114	200
3687	挦	9	100114	201
14078	撏	15	100114	202
41602	㩋	16	100122	230
6987	捸	11	100124	200
5244	捃	10	100130	200
6989	掃	11	100145	200
2381	拙	8	1002	200
12517	摪	14	100294	200
3690	拫	9	1003	200
8852	摡	12	100315	200
5246	揤	10	100352	200
16814	擢	17	100401	200
12518	摺	14	100401	201
12519	摎	14	100403	200
3697	挧	9	100404	200
41626	㩣	18	100407	230
17805	擸	18	100525	200
12525	摷	14	100582	200
2396	拇	8	1006	200
7000	掼	11	100628	200
12524	摜	14	100628	201
15537	擗	16	1007	200
6992	掘	11	100702	200
6990	据	11	100710	200
10788	搌	13	100714	200
41611	㩔	16	100714	230
8853	握	12	100719	200
14080	摨	15	100721	200
41556	㨝	13	100721	230
111401	𢲈	13	100734	240
2375	抳	8	100735	200
1387	択	7	10074	200
8855	摒	12	100742	200
5248	挶	10	100750	200
10789	搱	13	100762	200
5247	捤	10	100767	200
8858	揟	12	100821	200
6865	捷	11	101014	200
6866	捿	11	101015	200
5164	挳	10	101051	200
1299	抂	7	1011	200
5142	挵	10	101112	200
2281	抹	8	10112	200
713	扞	6	10112	201
714	扜	6	10112	202
2280	抺	8	10112	203
3582	拭	9	101124	200
41518	㧷	10	101130	230
111662	𢶍	16	101131	240
41608	㩑	15	101133	230
1300	扶	7	101134	200
6836	掭	11	101134	201
110985	𢫨	9	101134	240
111072	𢬿	10	101134	241
1303	抚	7	101135	200
1302	抏	7	101135	201
12393	摫	14	101135	202
13952	撵	15	101137	200
17752	攆	18	101137	201
17753	攅	18	101138	200
716	扝	6	10115	200
1307	抟	7	101154	200
1306	抎	7	101154	201
372	打	5	1012	200
718	扛	6	10121	200
41533	㨆	11	101212	230
2604	疌	8	101214	200
16757	擮	17	101214	201
41609	㩒	16	101214	230
41628	㩥	18	101214	231
10663	摃	13	101218	200
3595	挜	9	10122	200
6845	掗	11	10122	201
10674	搢	13	101221	200
8721	揇	12	101222	200
41596	㩅	15	101223	230
10676	搷	13	101224	200
15470	擜	16	101224	201
41528	㨁	11	101227	230
20057	攧	22	101228	200
3596	挝	9	101244	200
5150	捄	10	101244	201
111363	𢱢	13	101244	240
5151	挬	10	101248	200
41476	㧊	7	10125	230
5158	捂	10	101250	200
41627	㩤	18	101250	230
110991	𢫮	9	101251	240
5546	郪	10	101252	200
5154	捕	10	101254	200
10680	搏	13	101254	201
8730	揀	12	101254	202
1308	技	7	101254	203
3599	拺	9	101254	204
2294	抦	8	101254	205
6856	掚	11	101254	206
41492	㧜	8	101255	230
20058	攦	22	101257	200
2605	妻	8	101259	200
18713	鶈	19	101259	201
42849	㼮	12	101259	230
8722	揸	12	101281	200
15468	擀	16	101282	200
13976	撠	15	101284	200
41579	㨴	14	101285	230
111115	𢭪	10	101285	240
41537	㨊	12	101311	230
5160	振	10	101314	200
10695	搙	13	101314	201
8734	揻	12	101314	202
10696	搣	13	101314	203
41547	㨔	12	101314	230
15490	撼	16	101315	200
6858	捱	11	101319	200
46343	䳲	21	101319	230
17781	擾	18	101320	200
41516	㧵	10	101320	230
2296	抷	8	101321	200
3608	挒	9	101322	200
41506	㧫	9	101322	230
1310	抔	7	101324	200
41541	㨎	12	101324	230
2299	抪	8	101325	200
12440	摕	14	101325	201
41563	㨤	13	101325	230
3601	拵	9	101328	200
722	扙	6	10134	200
12442	撦	14	101341	200
6862	掎	11	101342	200
6860	捹	11	101342	201
111350	𢱕	12	101342	240
14001	撩	15	101344	200
14000	撅	15	101344	201
6859	捺	11	101344	202
3607	挞	9	101344	203
5162	挾	10	101344	204
12444	摤	14	101344	205
12441	摦	14	101344	206
16779	擟	17	101344	207
41477	㧋	7	101344	230
6864	掩	11	101345	200
1311	抠	7	101345	201
3604	挎	9	101345	202
41545	㨒	12	101349	230
723	扤	6	10135	200
2304	拋	8	101353	200
2301	拢	8	101354	200
1314	扰	7	101354	201
2303	拔	8	101354	202
1313	抜	7	101354	203
41484	㧔	8	101354	230
41522	㧻	11	101354	231
1315	扼	7	101355	200
3605	拻	9	101369	200
110983	𢫦	9	101381	240
12438	摵	14	101384	200
16778	擫	17	101384	201
18551	攊	19	101391	200
2298	拓	8	1014	200
41624	㩡	18	101414	230
8736	揼	12	101424	200
2306	抨	8	101432	200
3610	挟	9	101434	200
15491	擓	16	101445	200
1316	拒	7	101515	200
1318	扽	7	101525	200
8739	揩	12	101531	200
14003	撍	15	101531	201
1319	找	7	101534	200
1320	批	7	101535	200
3613	挠	9	101535	201
41549	㨖	13	101540	230
6867	捯	11	101542	200
3615	挃	9	101549	200
2307	拣	8	101554	200
3611	挗	9	101574	200
16781	擩	17	101612	200
111790	𢸍	18	101614	240
12446	摴	14	101615	200
18552	攉	19	101631	200
41612	㩕	16	101634	230
15492	擂	16	101683	200
2279	拝	8	10171	200
6850	掿	11	101710	200
12405	擆	14	101711	200
10670	撶	13	101712	200
13972	擛	15	101712	201
111294	𢰝	11	101714	240
41532	㨅	10	101724	230
13975	擏	15	101730	201
41553	㨚	12	101731	230
8717	搽	12	101732	200
15467	擭	16	101734	200
41577	㨲	13	101742	230
5148	捞	10	101743	200
41617	㩚	16	101743	230
8713	搑	12	101772	200
41641	㩲	20	101781	230
41639	㩰	19	101782	230
6851	描	11	101783	200
10673	摸	13	101784	200
41625	㩢	17	101784	230
13974	擖	15	101785	200
8719	搭	12	101792	200
